id_WorkOrder,WorkOrder,serviceDate,id_client,Hours,id_technician,id_equipment,id_service,id_branch,cost
1,WO1001,2026-05-01,1,2,1,1,1,1,120
2,WO1002,2026-05-02,1,3,1,1,1,1,180
3,WO1003,2026-05-03,2,4,2,2,2,2,250
4,WO1004,2026-05-04,2,2,2,2,2,2,150
5,WO1005,2026-05-05,3,5,3,3,3,3,500
6,WO1006,2026-05-06,3,4,3,3,3,3,450
7,WO1007,2026-05-07,4,2,4,4,2,4,130
8,WO1008,2026-05-08,4,3,4,4,2,4,200
11,WO1011,2026-05-11,6,6,1,2,3,6,550
12,WO1012,2026-05-12,6,5,1,2,3,6,520
13,WO1013,2026-05-13,7,2,2,1,2,7,160
14,WO1014,2026-05-14,7,3,2,1,2,7,210
15,WO1015,2026-05-15,8,2,3,3,1,8,125
16,WO1016,2026-05-16,8,2,3,3,1,8,135
17,WO1017,2026-05-17,9,4,4,4,3,9,400
18,WO1018,2026-05-18,9,5,4,4,3,9,430
